min,max,er,ee,ec
1000,1249.99,73.7,36.3,10
1250,1749.99,110.5,54.5,10
1750,2249.99,147.3,72.7,10
2250,2749.99,184.2,90.8,10
2750,3249.99,221,109,10
3250,3749.99,257,127.2,10
3750,4249.99,294.7,145.3,10
4250,4749.99,331.5,163.5,10
4750,5249.99,368.3,181.7,10
5250,5749.99,405.2,199.8,10
5750,6249.99,442,218,10
6250,6749.99,47808,236.2,10
6750,7249.99,515.7,254.3,10
7250,7749.99,552.8,272.5,10
7750,8249.99,589.3,290.7,10
8250,8749.99,626.2,308.8,10
8750,9249.99,663,327,10
9250,9749.99,699.8,345.2,10
9750,10249.99,736.7,363.3,10
10250,10749.99,773.5,381.5,10
10750,11249.99,810.3,399.7,10
11250,11749.99,847.2,417.8,10
11750,12249.99,884,436,10
12250,12749.99,920.8,454.2,10
12750,13249.99,957.7,472.3,10
13250,13749.99,994.5,490.5,10
13750,14249.99,1031.3,508.7,10
14250,14749.99,1068.2,526.8,10
14750,15249.99,1105.00,545,30
15250,15749.99,1141.8,563.2,30
15750,,1178.7,581.3,30